,closeness
NV,0.292361632296439
Jamaica Bay,0.25758951482373377
Governor's Island/Ellis Island/Liberty Island,0.22344742564594286
Broad Channel,0.2207412168676737
Saint Michaels Cemetery/Woodside,0.21485018109976953
Battery Park,0.21386605921058024
Kips Bay,0.21214855275671193
Lenox Hill West,0.21002148495650705
Financial District North,0.20434207332827045
Midtown East,0.20292018472734058
Murray Hill,0.2023946152175936
Midtown North,0.20213598097908164
Times Sq/Theatre District,0.20158176032623806
Union Sq,0.20151794745091378
West Village,0.201112669327621
Sutton Place/Turtle Bay North,0.20104605572287995
Midtown South,0.2007244537756962
World Trade Center,0.20026855937080376
UN/Turtle Bay South,0.20013188768077045
Penn Station/Madison Sq West,0.19995556542990447
Upper East Side South,0.19919710591790943
Lincoln Square West,0.1985757326759792
Lenox Hill East,0.19802430919105932
Greenwich Village South,0.19790268647210027
Gramercy,0.19756263719627584
Midtown Center,0.197086740819609
Hudson Sq,0.19699451283483405
Garment District,0.19672279421740507
Financial District South,0.19633803240705916
Brooklyn Heights,0.1955261225896349
Seaport,0.19507892848600814
Greenwich Village North,0.19345944022770398
TriBeCa/Civic Center,0.19246510187376945
SoHo,0.19154698038294718
Battery Park City,0.19121719636027956
Lincoln Square East,0.19099610689927699
Chinatown,0.19097374659759417
Little Italy/NoLiTa,0.19061808461690147
Stuy Town/Peter Cooper Village,0.19049843440941838
Lower East Side,0.18964715456606407
Flatiron,0.18853068860653427
Upper East Side North,0.18806202444085773
Clinton East,0.18792255574675815
East Village,0.18695069802090125
Meatpacking/West Village West,0.18649251171830342
Jackson Heights,0.18644854805872058
Clinton Hill,0.18485466598674144
Yorkville West,0.18480100259854285
Yorkville East,0.18397253804566183
East Chelsea,0.18363340861599511
Central Park,0.18341403082199
Clinton West,0.18136587264085388
DUMBO/Vinegar Hill,0.1800571215696014
West Chelsea/Hudson Yards,0.17993919296237823
Alphabet City,0.17963577298443156
Downtown Brooklyn/MetroTech,0.17953938860303223
Cobble Hill,0.17715573414422242
Two Bridges/Seward Park,0.17604327561901809
Old Astoria,0.1755873092758537
Upper West Side South,0.17212157982550433
Upper West Side North,0.17177607244869753
East Harlem South,0.17117447991815105
Columbia Street,0.17111612294136158
Brooklyn Navy Yard,0.1694002193765293
Woodside,0.16922119349568196
Astoria,0.1683990476743511
Boerum Hill,0.1667838200523995
Long Island City/Queens Plaza,0.16672202774867773
Fort Greene,0.16606750866923295
Brighton Beach,0.1651125422270582
East Elmhurst,0.1643069833615572
Astoria Park,0.16234170129126962
Long Island City/Hunters Point,0.16227104860670719
Carroll Gardens,0.16182935373664598
Rikers Island,0.16012564648429112
South Williamsburg,0.15966525353741123
Prospect Heights,0.15956763894917678
Gowanus,0.1587813380217427
Manhattan Valley,0.15875139895868814
Steinway,0.1584660967553915
East Harlem North,0.15637169732191
Williamsburg (South Side),0.1559158412884264
Melrose South,0.15531369200283254
Elmhurst/Maspeth,0.15527211289055995
North Corona,0.15475654009439557
Bloomingdale,0.15454760776882995
Freshkills Park,0.15414235430299308
Queensbridge/Ravenswood,0.15411231894754868
Crown Heights South,0.15373740943629616
Stuyvesant Heights,0.15363334020072403
Bath Beach,0.15250761077252994
Prospect Park,0.15247286450361613
Sunnyside,0.15082869096877094
Maspeth,0.15018038908804252
Baisley Park,0.14972636216569718
Bedford,0.1497186322256449
Ridgewood,0.1494905294026679
LaGuardia Airport,0.1494451633590234
East Williamsburg,0.1493639157381496
Port Richmond,0.1487323558407367
Crown Heights North,0.14855458100208888
Bushwick North,0.1479155804411398
Central Harlem,0.14778659841681482
Park Slope,0.14683957354637261
Greenpoint,0.14674875600910856
Bushwick South,0.14657239609364908
Williamsburg (North Side),0.14621029634194163
Hammels/Arverne,0.1460409474196635
Hunts Point,0.14578562252136515
Rockaway Park,0.1450515738929397
Red Hook,0.14483746018357177
Morningside Heights,0.1431988763551771
Ocean Hill,0.14302467038567343
Great Kills,0.1428032106101144
Randalls Island,0.14216460591535485
Elmhurst,0.1419589243755983
Springfield Gardens North,0.14022457422231774
Westerleigh,0.1397306036790372
Rego Park,0.13942903542886448
Roosevelt Island,0.13911541782596182
Erasmus,0.13911393484564216
Manhattanville,0.1388814984302666
Arden Heights,0.13788876972575456
Corona,0.1374494438827098
Central Harlem North,0.1373452892144481
Willets Point,0.13726077970433712
Green-Wood Cemetery,0.13711655958266133
Middle Village,0.13692449741889454
Mott Haven/Port Morris,0.1360494573659574
West Concourse,0.1359764515876944
Homecrest,0.13584976369428078
Gravesend,0.13535799856862807
Windsor Terrace,0.13489905829086513
Longwood,0.1323818073920784
Manhattan Beach,0.13206496989323482
Prospect-Lefferts Gardens,0.131872795804323
Glendale,0.13174166519445776
Brownsville,0.1311570970562518
Eltingville/Annadale/Prince's Bay,0.13087889439928593
Madison,0.13044130141436353
Forest Park/Highland Park,0.12999302719394362
Bensonhurst East,0.12996066324752278
Hamilton Heights,0.12989986263462802
East New York,0.1297590756778793
Sunset Park West,0.1286145112648572
Morrisania/Melrose,0.12850685862276098
Woodhaven,0.1283861224931503
Crotona Park,0.12832110759306967
Crotona Park East,0.12829650748396293
Ocean Parkway South,0.12824229440696538
Claremont/Bathgate,0.12818434972226725
East Concourse/Concourse Village,0.12795999411678188
Cypress Hills,0.1276333548500675
Kensington,0.12751923781604985
Oakwood,0.12733073793285135
Dyker Heights,0.1269325603902325
Flatbush/Ditmas Park,0.12685544311918578
West Brighton,0.12642776179265847
Highbridge,0.12566624777917407
Midwood,0.1254319231453136
Borough Park,0.12519787019715067
Sunset Park East,0.12504970845690574
East New York/Pennsylvania Avenue,0.12492401652251743
South Jamaica,0.1248582786779374
East Flatbush/Remsen Village,0.12476278340511576
Flushing Meadows-Corona Park,0.12431235264699578
East Flatbush/Farragut,0.12360763809956808
Forest Hills,0.12310449732330259
Ozone Park,0.12259622159384483
Howard Beach,0.12223450291302147
Soundview/Bruckner,0.12184760179643514
Mount Hope,0.11944588094769551
South Ozone Park,0.11937758994483931
Washington Heights South,0.11899171617056392
Highbridge Park,0.118562531514466
Flushing,0.11855876153790246
Bensonhurst West,0.11798849951177173
Laurelton,0.11774099687377353
Flatlands,0.11751622039018988
Richmond Hill,0.11689515713665088
Queensboro Hill,0.11663814022496413
Briarwood/Jamaica Hills,0.11660687399756064
Kew Gardens,0.11660270643369954
East Tremont,0.11639159304861245
Hillcrest/Pomonok,0.11636875966953056
Springfield Gardens South,0.11599536018559257
Starrett City,0.11566277874286525
Heartland Village/Todt Hill,0.11548212681795857
East Flushing,0.1147454497494065
Sheepshead Bay,0.11435231026717256
Fordham South,0.11404102855395101
College Point,0.11387682977377343
Murray Hill-Queens,0.11386689352791048
Belmont,0.11382468382032272
Mariners Harbor,0.11348220807680266
Bay Ridge,0.1134669141781474
Kew Gardens Hills,0.11335012594458439
West Farms/Bronx River,0.11328125
University Heights/Morris Heights,0.11314571086719036
Jamaica,0.11297576431783848
New Dorp/Midland Beach,0.11284534566993817
Hollis,0.1125261914411113
Stapleton,0.11213363235635296
Marine Park/Mill Basin,0.11203207293674265
Whitestone,0.10978795361143477
Woodlawn/Wakefield,0.10952305019596653
Glen Oaks,0.10929510935792262
Saint George/New Brighton,0.10924067268815765
Westchester Village/Unionport,0.10915980409788414
Washington Heights North,0.10856272929197136
Auburndale,0.10838555357610036
Canarsie,0.10835135729794133
Jamaica Estates,0.10767993068878025
Bedford Park,0.10767326732673267
Cambria Heights,0.10729966617881632
Parkchester,0.10658760398417112
Bronx Park,0.10641550975475506
Rossville/Woodrow,0.10635783502718034
Kingsbridge Heights,0.10594682362492389
Coney Island,0.1058552986457822
Arrochar/Fort Wadsworth,0.10530053013370344
South Beach/Dongan Hills,0.10519654826345085
Bronxdale,0.104892575534711
JFK Airport,0.10457107828407275
Far Rockaway,0.10453422194097221
Fresh Meadows,0.10410683515221138
Bloomfield/Emerson Hill,0.10405453893074991
Soundview/Castle Hill,0.10404665755095696
Breezy Point/Fort Tilden/Riis Beach,0.10390003304100667
Saint Albans,0.10361213333809711
Inwood Hill Park,0.10322529613004015
Inwood,0.10286646671422435
Van Cortlandt Village,0.10233769085391196
Norwood,0.10192207061910825
Pelham Parkway,0.1019157028278679
Bellerose,0.10181869250754862
Queens Village,0.10165213936858833
Marine Park/Floyd Bennett Field,0.10153745603933896
Rosedale,0.10115259702510601
Marble Hill,0.10109382746653445
Country Club,0.10091792781854879
Pelham Bay,0.10086878555528073
Van Nest/Morris Park,0.10054471350535082
Schuylerville/Edgewater Park,0.10044604200260929
Allerton/Pelham Gardens,0.09936081681443892
Van Cortlandt Park,0.09907717770497777
Eastchester,0.09803700615266728
Bay Terrace/Fort Totten,0.09790571791899709
Pelham Bay Park,0.09718209168627684
Oakland Gardens,0.09626271977221511
Bayside,0.09624710060218972
Spuyten Duyvil/Kingsbridge,0.09611808161566762
Charleston/Tottenville,0.09552321836388125
Grymes Hill/Clifton,0.09375
Williamsbridge/Olinville,0.09340142213506347
Co-Op City,0.09224211966029455
Douglaston,0.08968455776235311
Riverdale/North Riverdale/Fieldston,0.08876675429974594
Great Kills Park,0.08005447384887188
City Island,0.07947503844338545
NA,0.07744554332054443
Newark Airport,0.06425026586316909
